,ihme_lower,ihme_mean,ihme_upper,chime,umcphr_4wk,umcphr_3mth,umcphr_opt
2020-03-31,3.55,4.28994736842105,5.1,0.81259318180589,2.7778920175551947,2.7778920175551947,2.7778920175551947
2020-04-01,3.55,4.28994736842105,5.1,0.9662180052065406,3.104702843149924,3.104702843149924,3.104702843149924
2020-04-02,2.89875,3.6817026315789505,4.55125,1.1488577735544672,3.4315136687446524,3.4315136687446524,3.4315136687446524
2020-04-03,2.89875,3.6817026315789505,4.55125,0.9561864674809452,3.7583244943393814,3.7583244943393814,3.7583244943393814
2020-04-04,2.89875,3.6817026315789505,4.55125,1.0621710412264225,3.921729907136745,3.921729907136745,3.921729907136745
2020-04-05,2.04875,3.3477026315789504,5.70125,1.1798797488917376,4.08513531993411,4.08513531993411,4.08513531993411
2020-04-06,2.05,4.08670263157895,8.7,1.3106040746545595,4.411946145528838,4.411946145528838,4.411946145528838
2020-04-07,1.7,4.65516052631579,13.21375,1.4557764906924469,4.411946145528838,4.411946145528838,4.411946145528838
2020-04-08,1.75,6.07613157894737,19.49,1.6169855491069534,4.575351558326203,4.575351558326203,4.575351558326203
2020-04-09,1.79875,7.75685,27.1674999999999,1.795992518832341,4.902162383920932,4.902162383920932,4.902162383920932
2020-04-10,0.45,8.19052631578947,34.695,1.9947497088693529,5.0655677967182955,5.0655677967182955,5.0655677967182955
2020-04-11,0.5,9.76040263157895,42.23125,2.215420627961546,5.228973209515661,5.228973209515661,5.228973209515661
2020-04-12,0.2,11.157639473684199,48.2975,2.4604021390231767,5.228973209515661,5.228973209515661,5.228973209515661
2020-04-13,0.25,12.9452078947368,56.22375,2.7323487738239685,5.555784035110389,5.555784035110389,5.555784035110389
2020-04-14,0.25,14.684584210526301,63.51625,3.0341993791112185,5.7191894479077545,5.7191894479077545,5.7191894479077545
2020-04-15,0.0,15.9221236842105,70.46875,3.3692062688313835,5.882594860705117,5.882594860705117,5.882594860705117
2020-04-16,0.0,17.431784210526303,76.55375,3.74096705755364,6.046000273502482,6.046000273502482,6.046000273502482
2020-04-17,0.0,18.7819105263158,81.85125,4.153459346528996,6.372811099097213,6.372811099097213,6.209405686299848
2020-04-18,0.0,19.9312,85.9575,4.611078424717,6.536216511894577,6.536216511894577,6.372811099097213
2020-04-19,0.0,20.8831736842105,89.2875,5.118678130934349,6.69962192469194,6.69962192469194,6.372811099097213
