day,date,susceptible,infected,recovered
57,2020-05-29,840684.5467848938,118730.8027796096,91077.65043549662
58,2020-05-30,823348.8793642852,127585.69857310329,99558.42206261159
59,2020-05-31,805104.462259592,136716.85149400335,108671.68624640467
60,2020-06-01,785987.522134027,146068.30222713956,118437.17563883348
61,2020-06-02,766047.9547777018,155574.41942438338,128870.62579791486
62,2020-06-03,745349.4847744567,165160.43089731538,139983.08432822797
63,2020-06-04,723969.368596716,174743.37343953358,151780.25796375048
64,2020-06-05,701997.6005827647,184233.47192208955,164261.92749514573
65,2020-06-06,679535.608893636,193535.9299024975,177421.4612038664
66,2020-06-07,656694.4612565135,202553.08254658466,191245.45619690197
67,2020-06-08,633592.6352740711,211186.83120427086,205713.53352165796
68,2020-06-09,610353.4417683809,219341.25105251314,220798.30717910588
69,2020-06-10,587102.2182006569,226925.24240220047,236465.53939714254
70,2020-06-11,563963.4291261941,233855.085590792,252674.48528301404
71,2020-06-12,541057.8192648316,240056.76076709773,269378.4199680706
72,2020-06-13,518499.76083117473,245467.90771739048,286525.3314514347
73,2020-06-14,496394.92065500695,250039.3259137448,304058.75343124836
74,2020-06-15,474838.34630776884,253735.948410001,321918.7052822301
75,2020-06-16,453913.03717308736,256537.26122968242,340042.70159723016
76,2020-06-17,433689.0300998384,258437.17821509694,358366.7916850646
77,2020-06-18,414222.99395249184,259443.415918508,376826.59012900013
78,2020-06-19,395558.2964782711,259576.44082712106,395358.26269460784
79,2020-06-20,377725.4829162269,258868.0800443709,413899.4370394022
80,2020-06-21,360743.0899635399,257359.8958510314,432390.0141854287
81,2020-06-22,344618.711207871,255101.42490305525,450772.8638890738
82,2020-06-23,329350.23009104846,252148.37566965952,468994.394239292
83,2020-06-24,314927.14240228257,248560.8650963069,487004.99250141054
84,2020-06-25,301331.9004143038,244401.75957740657,504759.3400082896
85,2020-06-26,288541.2232708601,239735.16817960696,522216.60854953295
86,2020-06-27,276527.3315184678,234625.1193477416,539340.5491337905
87,2020-06-28,265259.0764994159,229134.43727052625,556099.4862300578
88,2020-06-29,254702.94682212037,223323.8214284985,572466.231749381
89,2020-06-30,244823.94380008898,217251.12291992284,588417.9332799881
90,2020-07-01,235586.3254094457,210970.80395914306,603935.8706314112
91,2020-07-02,226954.22399405463,204533.56223459533,619005.21377135
92,2020-07-03,218892.14683517662,197986.0992338594,633614.7539309639
93,2020-07-04,211365.37107116161,191371.01076688446,647756.6181619539
94,2020-07-05,204340.24560411673,184726.77832200902,661425.9760738742
95,2020-07-06,197784.41286003232,178087.84118594992,674620.7459540176
96,2020-07-07,191666.96284178263,171484.7311194889,687341.3060387283
97,2020-07-08,185958.5310544966,164944.25354109722,699590.2154044062
98,2020-07-09,180631.35076888558,158489.70143091556,711371.9478001988
99,2020-07-10,175659.2688562319,152141.0903842181,722692.6407595499
100,2020-07-11,171017.7331770749,145915.40532164526,733559.8615012798
